binominal,root_order,RD,SRL,references,genus,species,family,order
Abelia biflora,1.0,-0.6363888467413364,3.43227790769518,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Abelia,biflora,Caprifoliaceae,Dipsacales
Abies fargesii,1.0,-1.2913342598586361,3.422801478311455,"<ArrowStringArray>
['Pu X, Yin C, Xioa Q, Qiao M, Liu Q. 2016. Fine roots branch orders of Abies faxoniana respond differentially to warming in a subalpine coniferous forest ecosystem. Agroforestry Systems online article. doi:10.1007/s10457-016-9970-7']
Length: 1, dtype: str",Abies,fargesii,Pinaceae,Pinales
Abies nephrolepis,1.0,-0.8789147480343529,3.2975338379252603,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Abies,nephrolepis,Pinaceae,Pinales
Acacia auriculiformis,1.0,-1.0942219403668167,4.34756458111878,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424.']
Length: 2, dtype: str",Acacia,auriculiformis,Fabaceae,Fabales
Acacia crassicarpa,1.0,-1.487530062200767,4.684720464746101,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Acacia,crassicarpa,Fabaceae,Fabales
Acacia mangium,1.0,-1.3761460300680755,4.597037202757902,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Acacia,mangium,Fabaceae,Fabales
Acer barbinerve,1.0,-1.3771364233351249,4.96758145600384,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Acer,barbinerve,Sapindaceae,Sapindales
Acer campbellii,1.0,-1.6620478627063977,4.370364110801968,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Acer,campbellii,Sapindaceae,Sapindales
Acer caudatum,1.0,-1.4677192400521906,4.452395919427671,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Acer,caudatum,Sapindaceae,Sapindales
Acer coriaceifolium,1.0,-1.4271163556401458,4.870606649492553,"<ArrowStringArray>
['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.']
Length: 1, dtype: str",Acer,coriaceifolium,Sapindaceae,Sapindales
Acer davidii,1.0,-1.335563441435354,4.514543248584607,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Acer,davidii,Sapindaceae,Sapindales
Acer fabri,1.0,-1.6989797610955957,4.926383741648665,"<ArrowStringArray>
['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 2, dtype: str",Acer,fabri,Sapindaceae,Sapindales
Acer negundo,1.0,-1.4842747694800944,3.7960133963209044,"<ArrowStringArray>
['McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831.']
Length: 1, dtype: str",Acer,negundo,Sapindaceae,Sapindales
Acer pictum,1.0,-1.1592108241529209,4.461404079115766,"<ArrowStringArray>
[                                                                'Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.',
                                                                                                                            'Razaq M, Zhang P, Shen H, Salahuddin. 2017. Influence of nitrogen and phosphorous on the growth and root morphology of Acer mono. PLoS ONE 12: e0171321.',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 3, dtype: str",Acer,pictum,Sapindaceae,Sapindales
Acer platanoides,1.0,-1.1155014103466747,3.3947978251119246,"<ArrowStringArray>
['Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.']
Length: 1, dtype: str",Acer,platanoides,Sapindaceae,Sapindales
Acer pseudoplatanus,1.0,-1.3223499439271242,4.137269697670223,"<ArrowStringArray>
['Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.']
Length: 1, dtype: str",Acer,pseudoplatanus,Sapindaceae,Sapindales
Acer rubrum,1.0,-1.3599770528025172,3.832907645412601,"<ArrowStringArray>
['McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831.']
Length: 1, dtype: str",Acer,rubrum,Sapindaceae,Sapindales
